date;stationName;typeflag
01/19/2024 09:55:13;BremenNext;end_of_ad
01/19/2024 09:57:24;Radio RST;end_of_ad_artificial
01/19/2024 09:57:59;Antenne AC;end_of_ad_artificial
01/19/2024 09:58:01;WDR 2;start_of_ad
01/19/2024 09:59:21;BAYERN 1;start_of_ad
01/19/2024 10:01:04;WDR 2;end_of_ad_artificial
01/19/2024 10:02:21;BAYERN 1;end_of_ad_artificial
01/19/2024 10:20:42;BremenNext;start_of_ad
01/19/2024 10:22:47;100,5;start_of_ad
01/19/2024 10:25:50;100,5;end_of_ad_artificial
01/19/2024 10:25:52;Antenne AC;start_of_ad
01/19/2024 10:26:46;BremenNext;end_of_ad_artificial
01/19/2024 10:28:22;WDR 2;start_of_ad
01/19/2024 10:28:55;Antenne AC;end_of_ad_artificial
01/19/2024 10:30:28;BAYERN 1;start_of_ad
01/19/2024 10:31:26;WDR 2;end_of_ad_artificial
01/19/2024 10:33:28;BAYERN 1;end_of_ad_artificial
01/19/2024 10:49:48;BremenNext;start_of_ad
01/19/2024 10:53:58;1Live;start_of_ad
01/19/2024 10:54:14;Radio RST;start_of_ad
01/19/2024 10:54:27;Antenne AC;start_of_ad
01/19/2024 10:55:51;BremenNext;end_of_ad_artificial
01/19/2024 10:57:16;Radio RST;end_of_ad_artificial
01/19/2024 10:57:30;Antenne AC;end_of_ad_artificial
01/19/2024 10:57:37;WDR 2;start_of_ad
01/19/2024 10:58:58;BAYERN 1;start_of_ad
01/19/2024 11:00:01;1Live;end_of_ad_artificial
01/19/2024 11:00:41;WDR 2;end_of_ad_artificial
01/19/2024 11:02:02;BAYERN 1;end_of_ad_artificial
01/19/2024 11:19:54;BremenNext;start_of_ad
01/19/2024 11:22:34;Radio RST;start_of_ad
01/19/2024 11:24:01;100,5;start_of_ad
01/19/2024 11:25:37;Radio RST;end_of_ad_artificial
01/19/2024 11:25:54;BremenNext;end_of_ad_artificial
01/19/2024 11:26:53;Antenne AC;start_of_ad
01/19/2024 11:27:04;100,5;end_of_ad_artificial
01/19/2024 11:27:38;WDR 2;start_of_ad
01/19/2024 11:29:37;BAYERN 1;start_of_ad
01/19/2024 11:29:57;Antenne AC;end_of_ad_artificial
01/19/2024 11:30:39;WDR 2;end_of_ad_artificial
01/19/2024 11:32:39;BAYERN 1;end_of_ad_artificial
01/19/2024 11:52:15;Radio RST;start_of_ad
01/19/2024 11:52:50;Antenne AC;start_of_ad
01/19/2024 11:54:54;1Live;start_of_ad
01/19/2024 11:55:17;Radio RST;end_of_ad_artificial
01/19/2024 11:55:53;Antenne AC;end_of_ad_artificial
01/19/2024 11:57:06;1Live;end_of_ad
01/19/2024 11:58:40;WDR 2;start_of_ad
01/19/2024 11:59:44;BAYERN 1;start_of_ad
01/19/2024 12:01:45;WDR 2;end_of_ad_artificial
01/19/2024 12:02:44;BAYERN 1;end_of_ad_artificial
01/19/2024 12:19:36;BremenNext;start_of_ad
01/19/2024 12:21:07;BremenNext;end_of_ad
01/19/2024 12:22:17;Radio RST;start_of_ad
01/19/2024 12:23:30;100,5;start_of_ad
01/19/2024 12:25:19;Radio RST;end_of_ad_artificial
01/19/2024 12:26:33;100,5;end_of_ad_artificial
01/19/2024 12:27:41;WDR 2;start_of_ad
01/19/2024 12:30:44;WDR 2;end_of_ad_artificial
01/19/2024 12:45:23;BremenNext;start_of_ad
01/19/2024 12:46:53;BremenNext;end_of_ad
01/19/2024 12:50:24;100,5;start_of_ad
01/19/2024 12:52:32;Radio RST;start_of_ad
01/19/2024 12:53:03;Antenne AC;start_of_ad
01/19/2024 12:53:27;100,5;end_of_ad_artificial
01/19/2024 12:54:18;1Live;start_of_ad
01/19/2024 12:55:35;Radio RST;end_of_ad_artificial
01/19/2024 12:56:05;Antenne AC;end_of_ad_artificial
01/19/2024 12:56:37;BAYERN 1;start_of_ad
01/19/2024 12:56:43;1Live;end_of_ad
01/19/2024 12:57:43;WDR 2;start_of_ad
01/19/2024 12:59:40;BAYERN 1;end_of_ad_artificial
01/19/2024 13:00:47;WDR 2;end_of_ad_artificial
01/19/2024 13:19:26;BremenNext;start_of_ad
01/19/2024 13:21:40;100,5;start_of_ad
01/19/2024 13:21:46;Radio RST;start_of_ad
01/19/2024 13:24:43;100,5;end_of_ad_artificial
01/19/2024 13:24:48;Radio RST;end_of_ad_artificial
01/19/2024 13:25:29;BremenNext;end_of_ad_artificial
01/19/2024 13:26:35;Antenne AC;start_of_ad
01/19/2024 13:28:57;WDR 2;start_of_ad
01/19/2024 13:29:38;Antenne AC;end_of_ad_artificial
01/19/2024 13:29:45;BAYERN 1;start_of_ad
01/19/2024 13:32:00;WDR 2;end_of_ad_artificial
01/19/2024 13:32:49;BAYERN 1;end_of_ad_artificial
01/19/2024 13:45:00;BremenNext;start_of_ad
01/19/2024 13:46:08;BremenNext;end_of_ad
01/19/2024 13:51:03;100,5;start_of_ad
01/19/2024 13:54:08;100,5;end_of_ad_artificial
01/19/2024 13:54:13;Antenne AC;start_of_ad
01/19/2024 13:55:20;1Live;start_of_ad
01/19/2024 13:56:52;1Live;end_of_ad
01/19/2024 13:57:13;Antenne AC;end_of_ad_artificial
01/19/2024 13:58:42;WDR 2;start_of_ad
01/19/2024 14:01:44;WDR 2;end_of_ad_artificial
01/19/2024 14:23:15;Radio RST;start_of_ad
01/19/2024 14:25:31;Antenne AC;start_of_ad
